ID,APPLICATION_DATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
30,12:00:00 AM,,,,,,,,
31,12:22:55 AM,RESPONSE,,,,,,,
31,12:21:01 AM,RISK,,,,,,,
31,12:27:19 AM,APPROVED,PLASTIC,35,39700,37,,,
31,12:22:33 AM,DELIVERED,,,,,,64000,1
31,12:00:21 AM,,,,,,239.9107554,,
31,12:23:38 AM,,,,,,30.66072102,,
33,12:56:26 AM,RESPONSE,,,,,,,
33,12:48:05 AM,RISK,,,,,,,
33,12:54:43 AM,APPROVED,PLASTIC,35,36000,43,,,
33,12:44:43 AM,DELIVERED,,,,,,53100,3
33,12:16:46 AM,,,,,,189.502785,,
35,12:33:54 AM,RESPONSE,,,,,,,
35,12:14:55 AM,RISK,,,,,,,
35,12:20:07 AM,APPROVED,DIGITAL,39,2000,43,,,
35,12:44:07 AM,,,,,,96.61347961,,
35,12:54:25 AM,,,,,,827.8906726,,
35,12:42:07 AM,,,,,,711.5427222,,
35,12:25:04 AM,,,,,,83.7901251,,
35,12:34:07 AM,,,,,,119.3415642,,
37,12:50:37 AM,RESPONSE,,,,,,,
37,12:11:35 AM,RISK,,,,,,,
37,12:16:10 AM,APPROVED,DIGITAL,45,3200,35,,,
37,12:06:25 AM,,,,,,1529.738176,,
38,12:00:00 AM,,,,,,,,
41,12:45:04 AM,RESPONSE,,,,,,,
41,12:15:31 AM,RISK,,,,,,,
41,12:48:27 AM,REJECTED,USAGE,,,,,,
43,12:00:00 AM,,,,,,,,
44,12:26:30 AM,RESPONSE,,,,,,,
44,12:30:40 AM,RISK,,,,,,,
44,12:06:12 AM,APPROVED,DIGITAL,49,13200,35,,,
45,12:32:38 AM,RESPONSE,,,,,,,
45,12:38:24 AM,RISK,,,,,,,
45,12:40:51 AM,APPROVED,PLASTIC,35,13000,45,,,
45,12:33:48 AM,DELIVERED,,,,,,53100,2
46,12:00:00 AM,,,,,,,,
47,12:57:29 AM,RESPONSE,,,,,,,
47,12:09:24 AM,RISK,,,,,,,
47,12:43:46 AM,APPROVED,PLASTIC,46,15100,41,,,
47,12:29:24 AM,DELIVERED,,,,,,44100,3
47,12:15:35 AM,,,,,,51.24002299,,
49,12:18:08 AM,RESPONSE,,,,,,,
49,12:27:44 AM,RISK,,,,,,,
49,12:24:41 AM,APPROVED,PLASTIC,46,7900,44,,,
49,12:50:57 AM,DELIVERED,,,,,,53100,2
49,12:22:40 AM,,,,,,594.7261333,,
51,12:38:30 AM,RESPONSE,,,,,,,
51,12:35:23 AM,RISK,,,,,,,
51,12:59:37 AM,APPROVED,PLASTIC,40,5100,39,,,
51,12:33:58 AM,DELIVERED,,,,,,11560,1
51,12:15:46 AM,,,,,,54.19228183,,
51,12:40:21 AM,,,,,,534.6157337,,
51,12:09:48 AM,,,,,,377.7184525,,
51,12:53:14 AM,,,,,,259.6505831,,
51,12:15:58 AM,,,,,,290.2685821,,
52,12:20:35 AM,RESPONSE,,,,,,,
52,12:53:43 AM,RISK,,,,,,,
52,12:36:32 AM,REJECTED,MOP,,,,,,
53,12:22:44 AM,RESPONSE,,,,,,,
53,12:12:40 AM,RISK,,,,,,,
53,12:51:23 AM,APPROVED,PLASTIC,33,17200,34,,,
53,12:35:56 AM,DELIVERED,,,,,,11560,3
53,12:59:44 AM,,,,,,77.98098017,,
53,12:47:41 AM,,,,,,118.4484228,,
53,12:20:00 AM,,,,,,1410.012808,,
54,12:42:07 AM,RESPONSE,,,,,,,
54,12:24:53 AM,RISK,,,,,,,
54,12:16:32 AM,REJECTED,EMPTY,,,,,,
56,12:00:00 AM,,,,,,,,
57,12:00:00 AM,,,,,,,,
58,12:02:57 AM,RESPONSE,,,,,,,
58,12:48:56 AM,RISK,,,,,,,
58,12:43:21 AM,APPROVED,DIGITAL,30,17100,32,,,
58,12:02:04 AM,,,,,,217.3354449,,
58,12:10:20 AM,,,,,,279.4775294,,
58,12:55:58 AM,,,,,,26.51169819,,
58,12:44:01 AM,,,,,,35.95594841,,
59,12:20:19 AM,RESPONSE,,,,,,,
59,12:07:40 AM,RISK,,,,,,,
59,12:13:21 AM,APPROVED,PLASTIC,49,4800,40,,,
59,12:45:07 AM,DELIVERED,,,,,,64000,1
59,12:43:27 AM,,,,,,575.3818641,,
59,12:42:03 AM,,,,,,999.1450206,,
59,12:05:07 AM,,,,,,640.7733108,,
60,12:58:15 AM,RESPONSE,,,,,,,
60,12:27:18 AM,RISK,,,,,,,
60,12:19:37 AM,APPROVED,PLASTIC,31,13100,36,,,
60,12:00:24 AM,DELIVERED,,,,,,44620,2
60,12:43:02 AM,,,,,,163.5850142,,
60,12:27:31 AM,,,,,,7959.955537,,
62,12:33:33 AM,RESPONSE,,,,,,,
62,12:36:28 AM,RISK,,,,,,,
62,12:39:49 AM,APPROVED,DIGITAL,43,8200,34,,,
62,12:56:10 AM,,,,,,126.6828149,,
62,12:44:34 AM,,,,,,1054.384175,,
62,12:36:14 AM,,,,,,99.20259856,,
62,12:50:16 AM,,,,,,137.3731216,,
64,12:21:21 AM,RESPONSE,,,,,,,
64,12:18:18 AM,RISK,,,,,,,
64,12:57:34 AM,APPROVED,PLASTIC,33,15300,39,,,
64,12:29:30 AM,DELIVERED,,,,,,44620,2
64,12:03:10 AM,,,,,,16404.2983,,
64,12:58:20 AM,,,,,,23157.11791,,
64,12:41:53 AM,,,,,,373.2864394,,
65,12:17:42 AM,RESPONSE,,,,,,,
65,12:37:37 AM,RISK,,,,,,,
65,12:19:26 AM,APPROVED,DIGITAL,36,5200,43,,,
65,12:52:02 AM,,,,,,35.11541157,,
65,12:58:18 AM,,,,,,780.6038431,,
66,12:23:23 AM,RESPONSE,,,,,,,
66,12:41:54 AM,RISK,,,,,,,
66,12:15:28 AM,REJECTED,USAGE,,,,,,
68,12:20:20 AM,RESPONSE,,,,,,,
68,12:27:31 AM,RISK,,,,,,,
68,12:50:01 AM,REJECTED,INCOME,,,,,,
69,12:45:43 AM,RESPONSE,,,,,,,
69,12:27:05 AM,RISK,,,,,,,
69,12:55:05 AM,APPROVED,PLASTIC,30,14800,31,,,
69,12:31:08 AM,DELIVERED,,,,,,44100,4
69,12:02:05 AM,,,,,,117.1275275,,
69,12:28:47 AM,,,,,,244.3767827,,
69,12:29:07 AM,,,,,,558.3251414,,
70,12:51:43 AM,RESPONSE,,,,,,,
70,12:49:22 AM,RISK,,,,,,,
70,12:59:26 AM,REJECTED,EMPTY,,,,,,
71,12:00:00 AM,,,,,,,,
72,12:36:05 AM,RESPONSE,,,,,,,
72,12:11:35 AM,RISK,,,,,,,
72,12:15:15 AM,APPROVED,PLASTIC,32,300,32,,,
72,12:11:14 AM,DELIVERED,,,,,,53100,0
72,12:18:54 AM,,,,,,3358.294171,,
75,12:46:26 AM,RESPONSE,,,,,,,
75,12:26:17 AM,RISK,,,,,,,
75,12:09:24 AM,APPROVED,DIGITAL,37,0,42,,,
76,12:19:12 AM,RESPONSE,,,,,,,
76,12:13:15 AM,RISK,,,,,,,
76,12:35:12 AM,APPROVED,DIGITAL,47,39200,42,,,
76,12:01:25 AM,,,,,,56.20647139,,
77,12:30:16 AM,RESPONSE,,,,,,,
77,12:52:53 AM,RISK,,,,,,,
77,12:28:43 AM,APPROVED,DIGITAL,45,2900,32,,,
77,12:22:24 AM,,,,,,81.21768078,,
77,12:59:02 AM,,,,,,9461.727153,,
77,12:58:08 AM,,,,,,18.3832334,,
77,12:53:12 AM,,,,,,533.3906621,,
78,12:00:00 AM,,,,,,,,
79,12:36:19 AM,RESPONSE,,,,,,,
79,12:53:56 AM,RISK,,,,,,,
79,12:26:05 AM,APPROVED,PLASTIC,38,78900,35,,,
79,12:50:28 AM,DELIVERED,,,,,,53100,1
79,12:44:05 AM,,,,,,4106.537792,,
79,12:06:15 AM,,,,,,44.99856153,,
79,12:34:34 AM,,,,,,2.800887013,,
79,12:24:56 AM,,,,,,57.08818007,,
80,12:17:07 AM,RESPONSE,,,,,,,
80,12:33:20 AM,RISK,,,,,,,
80,12:03:44 AM,REJECTED,MOP,,,,,,
81,12:00:00 AM,,,,,,,,
83,12:00:00 AM,,,,,,,,
85,12:03:16 AM,RESPONSE,,,,,,,
85,12:04:34 AM,RISK,,,,,,,
85,12:41:50 AM,REJECTED,INCOME,,,,,,
86,12:24:17 AM,RESPONSE,,,,,,,
86,12:19:23 AM,RISK,,,,,,,
86,12:56:16 AM,REJECTED,EMPTY,,,,,,
88,12:23:48 AM,RESPONSE,,,,,,,
88,12:21:47 AM,RISK,,,,,,,
88,12:41:23 AM,APPROVED,PLASTIC,38,18200,43,,,
88,12:18:29 AM,DELIVERED,,,,,,53100,3
88,12:22:13 AM,,,,,,507.3562627,,
89,12:19:19 AM,RESPONSE,,,,,,,
89,12:32:12 AM,RISK,,,,,,,
89,12:22:55 AM,APPROVED,PLASTIC,36,4300,39,,,
89,12:19:24 AM,DELIVERED,,,,,,44100,3
89,12:24:04 AM,,,,,,149.7448582,,
89,12:27:02 AM,,,,,,1682.415673,,
89,12:56:17 AM,,,,,,138.8226505,,
89,12:48:56 AM,,,,,,1355.411819,,
89,12:46:13 AM,,,,,,46.09894062,,
92,12:57:12 AM,RESPONSE,,,,,,,
92,12:09:31 AM,RISK,,,,,,,
92,12:38:54 AM,APPROVED,PLASTIC,43,1700,37,,,
92,12:45:04 AM,DELIVERED,,,,,,11560,1
94,12:01:09 AM,RESPONSE,,,,,,,
94,12:35:25 AM,RISK,,,,,,,
94,12:27:52 AM,APPROVED,DIGITAL,42,200,34,,,
94,12:26:04 AM,,,,,,3797.149191,,
94,12:12:31 AM,,,,,,772.8277326,,
94,12:50:12 AM,,,,,,56.89397721,,
94,12:04:49 AM,,,,,,1667.141639,,
94,12:17:48 AM,,,,,,78.58900052,,
96,12:00:00 AM,,,,,,,,
98,12:00:00 AM,,,,,,,,
99,12:24:44 AM,RESPONSE,,,,,,,
99,12:19:23 AM,RISK,,,,,,,
99,12:20:46 AM,APPROVED,DIGITAL,48,1400,48,,,
99,12:30:42 AM,,,,,,125.385366,,
99,12:31:28 AM,,,,,,459.6638968,,
99,12:19:32 AM,,,,,,7135.489459,,
101,12:45:40 AM,RESPONSE,,,,,,,
101,12:23:32 AM,RISK,,,,,,,
101,12:24:35 AM,APPROVED,DIGITAL,33,24600,34,,,
101,12:04:26 AM,,,,,,17477.80799,,
101,12:45:14 AM,,,,,,233.3493445,,
101,12:32:16 AM,,,,,,364.6460484,,
103,12:46:08 AM,RESPONSE,,,,,,,
103,12:34:59 AM,RISK,,,,,,,
103,12:54:49 AM,REJECTED,USAGE,,,,,,
104,12:45:14 AM,RESPONSE,,,,,,,
104,12:41:59 AM,RISK,,,,,,,
104,12:44:56 AM,APPROVED,PLASTIC,34,19100,35,,,
104,12:58:34 AM,DELIVERED,,,,,,44100,2
104,12:59:16 AM,,,,,,373.5732293,,
104,12:08:17 AM,,,,,,153.8435124,,
104,12:23:23 AM,,,,,,20.27548845,,
105,12:31:22 AM,RESPONSE,,,,,,,
105,12:30:36 AM,RISK,,,,,,,
105,12:37:36 AM,APPROVED,PLASTIC,49,2700,48,,,
105,12:31:23 AM,DELIVERED,,,,,,53100,2
108,12:00:00 AM,,,,,,,,
114,12:33:25 AM,RESPONSE,,,,,,,
114,12:30:58 AM,RISK,,,,,,,
114,12:40:10 AM,REJECTED,MOP,,,,,,
115,12:45:46 AM,RESPONSE,,,,,,,
115,12:33:50 AM,RISK,,,,,,,
115,12:34:48 AM,APPROVED,PLASTIC,46,27400,32,,,
115,12:00:32 AM,DELIVERED,,,,,,64000,1
115,12:02:58 AM,,,,,,1657.53747,,
115,12:41:52 AM,,,,,,2.532160501,,
115,12:25:55 AM,,,,,,356.7106312,,
115,12:10:42 AM,,,,,,13.87603499,,
115,12:44:15 AM,,,,,,1.518921496,,
116,12:00:00 AM,,,,,,,,
117,12:45:38 AM,RESPONSE,,,,,,,
117,12:01:33 AM,RISK,,,,,,,
117,12:32:26 AM,APPROVED,DIGITAL,44,24400,46,,,
117,12:34:41 AM,,,,,,6798.163805,,
117,12:38:33 AM,,,,,,351.9476371,,
117,12:52:31 AM,,,,,,8.981292161,,
118,12:43:42 AM,RESPONSE,,,,,,,
118,12:48:37 AM,RISK,,,,,,,
118,12:37:10 AM,APPROVED,DIGITAL,40,36700,33,,,
118,12:10:39 AM,,,,,,257.6856617,,
118,12:22:23 AM,,,,,,130.7528602,,
118,12:04:41 AM,,,,,,27.65909111,,
118,12:15:11 AM,,,,,,196.357069,,
118,12:12:45 AM,,,,,,1485.22815,,
119,12:07:21 AM,RESPONSE,,,,,,,
119,12:05:15 AM,RISK,,,,,,,
119,12:44:42 AM,APPROVED,DIGITAL,35,9700,47,,,
119,12:31:01 AM,,,,,,121.2188154,,
119,12:39:00 AM,,,,,,102.3001711,,
120,12:43:12 AM,RESPONSE,,,,,,,
120,12:10:19 AM,RISK,,,,,,,
120,12:43:24 AM,APPROVED,DIGITAL,43,700,34,,,
120,12:31:30 AM,,,,,,1929.780901,,
120,12:25:33 AM,,,,,,14.67891566,,
122,12:12:07 AM,RESPONSE,,,,,,,
122,12:13:15 AM,RISK,,,,,,,
122,12:04:31 AM,REJECTED,INCOME,,,,,,
123,12:00:00 AM,,,,,,,,
124,12:13:34 AM,RESPONSE,,,,,,,
124,12:19:31 AM,RISK,,,,,,,
124,12:34:00 AM,REJECTED,INCOME,,,,,,
125,12:00:00 AM,,,,,,,,
126,12:26:48 AM,RESPONSE,,,,,,,
126,12:06:04 AM,RISK,,,,,,,
126,12:50:39 AM,REJECTED,MOP,,,,,,
127,12:08:28 AM,RESPONSE,,,,,,,
127,12:43:24 AM,RISK,,,,,,,
127,12:55:20 AM,APPROVED,DIGITAL,33,12600,44,,,
127,12:04:28 AM,,,,,,134.4055233,,
127,12:33:11 AM,,,,,,65.59245668,,
127,12:40:54 AM,,,,,,60.19226636,,
128,12:28:53 AM,RESPONSE,,,,,,,
128,12:53:03 AM,RISK,,,,,,,
128,12:56:51 AM,REJECTED,USAGE,,,,,,
129,12:43:03 AM,RESPONSE,,,,,,,
129,12:54:25 AM,RISK,,,,,,,
129,12:08:59 AM,APPROVED,PLASTIC,45,23600,37,,,
129,12:35:03 AM,DELIVERED,,,,,,44100,0
129,12:03:46 AM,,,,,,44.75454473,,
129,12:07:01 AM,,,,,,317.932142,,
129,12:36:14 AM,,,,,,26441.91077,,
129,12:34:25 AM,,,,,,504.2925909,,
130,12:44:29 AM,RESPONSE,,,,,,,
130,12:43:32 AM,RISK,,,,,,,
130,12:24:02 AM,REJECTED,USAGE,,,,,,
131,12:00:00 AM,,,,,,,,
132,12:26:19 AM,RESPONSE,,,,,,,
132,12:47:04 AM,RISK,,,,,,,
132,12:43:04 AM,REJECTED,MOP,,,,,,
133,12:00:00 AM,,,,,,,,
134,12:51:33 AM,RESPONSE,,,,,,,
134,12:01:37 AM,RISK,,,,,,,
134,12:28:58 AM,APPROVED,DIGITAL,40,3200,49,,,
134,12:27:22 AM,,,,,,184.6786533,,
135,12:00:08 AM,RESPONSE,,,,,,,
135,12:59:52 AM,RISK,,,,,,,
135,12:42:52 AM,APPROVED,PLASTIC,35,9900,46,,,
135,12:34:23 AM,DELIVERED,,,,,,64000,2
135,12:49:00 AM,,,,,,1640.482812,,
135,12:33:47 AM,,,,,,23103.61045,,
135,12:16:18 AM,,,,,,1029.4493,,
136,12:33:26 AM,RESPONSE,,,,,,,
136,12:20:17 AM,RISK,,,,,,,
136,12:12:54 AM,APPROVED,PLASTIC,49,7900,42,,,
136,12:59:34 AM,DELIVERED,,,,,,44620,3
136,12:03:15 AM,,,,,,174.061074,,
136,12:34:28 AM,,,,,,34.11562895,,
136,12:37:57 AM,,,,,,80.95974859,,
136,12:48:18 AM,,,,,,1.238863475,,
136,12:22:12 AM,,,,,,95.37234941,,
137,12:35:34 AM,RESPONSE,,,,,,,
137,12:55:50 AM,RISK,,,,,,,
137,12:17:51 AM,REJECTED,EMPTY,,,,,,
139,12:07:45 AM,RESPONSE,,,,,,,
139,12:56:03 AM,RISK,,,,,,,
139,12:39:23 AM,APPROVED,DIGITAL,49,4400,34,,,
139,12:07:33 AM,,,,,,1210.900068,,
139,12:58:46 AM,,,,,,16360.39606,,
139,12:08:00 AM,,,,,,11.89605798,,
140,12:29:18 AM,RESPONSE,,,,,,,
140,12:20:05 AM,RISK,,,,,,,
140,12:45:22 AM,APPROVED,PLASTIC,41,2200,40,,,
140,12:17:46 AM,DELIVERED,,,,,,44100,0
140,12:55:21 AM,,,,,,2261.324965,,
140,12:26:22 AM,,,,,,12.29641124,,
140,12:59:46 AM,,,,,,479.26629,,
141,12:50:03 AM,RESPONSE,,,,,,,
141,12:22:48 AM,RISK,,,,,,,
141,12:35:30 AM,APPROVED,DIGITAL,49,29800,41,,,
142,12:46:41 AM,RESPONSE,,,,,,,
142,12:45:23 AM,RISK,,,,,,,
142,12:21:40 AM,REJECTED,USAGE,,,,,,
143,12:51:53 AM,RESPONSE,,,,,,,
143,12:32:38 AM,RISK,,,,,,,
143,12:36:27 AM,APPROVED,PLASTIC,32,17700,46,,,
143,12:05:05 AM,DELIVERED,,,,,,44100,1
143,12:42:55 AM,,,,,,5224.386979,,
145,12:49:18 AM,RESPONSE,,,,,,,
145,12:48:40 AM,RISK,,,,,,,
145,12:41:43 AM,APPROVED,DIGITAL,38,37400,41,,,
145,12:52:34 AM,,,,,,3173.523983,,
145,12:58:39 AM,,,,,,2364.903876,,
145,12:12:52 AM,,,,,,58.22102836,,
145,12:19:30 AM,,,,,,74.2058714,,
146,12:00:00 AM,,,,,,,,
147,12:53:27 AM,RESPONSE,,,,,,,
147,12:40:08 AM,RISK,,,,,,,
147,12:14:59 AM,APPROVED,DIGITAL,31,9600,31,,,
147,12:43:33 AM,,,,,,888.0557989,,
147,12:12:45 AM,,,,,,358.8675499,,
147,12:00:29 AM,,,,,,316.7309122,,
147,12:17:36 AM,,,,,,9.575112508,,
147,12:07:12 AM,,,,,,122.0844579,,
148,12:03:55 AM,RESPONSE,,,,,,,
148,12:55:48 AM,RISK,,,,,,,
148,12:58:56 AM,REJECTED,USAGE,,,,,,
150,12:41:48 AM,RESPONSE,,,,,,,
150,12:58:47 AM,RISK,,,,,,,
150,12:18:06 AM,APPROVED,PLASTIC,49,18900,48,,,
150,12:51:28 AM,DELIVERED,,,,,,44100,1
150,12:02:09 AM,,,,,,3680.834805,,
150,12:20:03 AM,,,,,,60.92755054,,
150,12:41:48 AM,,,,,,17.05490733,,
150,12:45:20 AM,,,,,,6172.176652,,
150,12:06:30 AM,,,,,,287.2856172,,
152,12:00:00 AM,,,,,,,,
153,12:00:18 AM,RESPONSE,,,,,,,
153,12:26:56 AM,RISK,,,,,,,
153,12:25:40 AM,APPROVED,PLASTIC,42,20200,37,,,
153,12:38:14 AM,DELIVERED,,,,,,53100,0
153,12:22:19 AM,,,,,,268.2027083,,
153,12:57:16 AM,,,,,,426.7240909,,
153,12:06:22 AM,,,,,,124.872934,,
153,12:26:55 AM,,,,,,3304.675089,,
153,12:02:01 AM,,,,,,82.29078884,,
154,12:26:26 AM,RESPONSE,,,,,,,
154,12:17:05 AM,RISK,,,,,,,
154,12:49:05 AM,REJECTED,INCOME,,,,,,
155,12:17:28 AM,RESPONSE,,,,,,,
155,12:02:20 AM,RISK,,,,,,,
155,12:50:08 AM,APPROVED,DIGITAL,45,53200,32,,,
158,12:36:22 AM,RESPONSE,,,,,,,
158,12:37:04 AM,RISK,,,,,,,
158,12:58:34 AM,APPROVED,PLASTIC,40,36600,48,,,
158,12:42:35 AM,DELIVERED,,,,,,11560,2
158,12:21:26 AM,,,,,,75.39058645,,
160,12:57:12 AM,RESPONSE,,,,,,,
160,12:04:51 AM,RISK,,,,,,,
160,12:55:39 AM,APPROVED,PLASTIC,40,5100,36,,,
160,12:44:17 AM,DELIVERED,,,,,,64000,3
160,12:40:36 AM,,,,,,1131.015475,,
160,12:05:56 AM,,,,,,10252.23071,,
162,12:58:37 AM,RESPONSE,,,,,,,
162,12:06:28 AM,RISK,,,,,,,
162,12:08:46 AM,APPROVED,PLASTIC,49,25100,37,,,
162,12:16:49 AM,DELIVERED,,,,,,53100,3
162,12:48:44 AM,,,,,,222.4153166,,
162,12:20:29 AM,,,,,,78.49793776,,
162,12:59:06 AM,,,,,,5819.401033,,
162,12:30:48 AM,,,,,,2843.607511,,
163,12:29:35 AM,RESPONSE,,,,,,,
163,12:03:16 AM,RISK,,,,,,,
163,12:40:58 AM,APPROVED,PLASTIC,47,4500,40,,,
163,12:16:36 AM,DELIVERED,,,,,,53100,5
163,12:11:13 AM,,,,,,7860.382649,,
163,12:31:26 AM,,,,,,28.70522046,,
164,12:35:26 AM,RESPONSE,,,,,,,
164,12:37:38 AM,RISK,,,,,,,
164,12:58:55 AM,APPROVED,PLASTIC,45,19600,47,,,
164,12:49:48 AM,DELIVERED,,,,,,64000,2
164,12:45:13 AM,,,,,,603.8415931,,
167,12:27:53 AM,RESPONSE,,,,,,,
167,12:19:53 AM,RISK,,,,,,,
167,12:45:44 AM,REJECTED,INCOME,,,,,,
168,12:33:29 AM,RESPONSE,,,,,,,
168,12:22:44 AM,RISK,,,,,,,
168,12:52:29 AM,APPROVED,PLASTIC,32,17700,49,,,
168,12:31:35 AM,DELIVERED,,,,,,53100,1
168,12:41:22 AM,,,,,,1800.309938,,
168,12:35:50 AM,,,,,,503.2736269,,
168,12:22:56 AM,,,,,,194.2106366,,
168,12:21:42 AM,,,,,,2770.235975,,
168,12:48:51 AM,,,,,,242.8369011,,
169,12:00:00 AM,,,,,,,,
171,12:47:12 AM,RESPONSE,,,,,,,
171,12:51:29 AM,RISK,,,,,,,
171,12:56:14 AM,APPROVED,DIGITAL,45,2600,43,,,
171,12:42:34 AM,,,,,,61.94396866,,
171,12:11:42 AM,,,,,,2054.14633,,
171,12:42:16 AM,,,,,,155.8796114,,
171,12:50:11 AM,,,,,,5.503774564,,
171,12:32:14 AM,,,,,,373.3039849,,
172,12:38:43 AM,RESPONSE,,,,,,,
172,12:14:25 AM,RISK,,,,,,,
172,12:41:05 AM,REJECTED,INCOME,,,,,,
173,12:44:40 AM,RESPONSE,,,,,,,
173,12:34:47 AM,RISK,,,,,,,
173,12:55:35 AM,APPROVED,PLASTIC,44,12200,46,,,
173,12:56:45 AM,DELIVERED,,,,,,44100,2
173,12:18:11 AM,,,,,,109.3746659,,
173,12:11:49 AM,,,,,,1101.147151,,
173,12:19:58 AM,,,,,,303.1650286,,
174,12:00:00 AM,,,,,,,,
176,12:35:55 AM,RESPONSE,,,,,,,
176,12:38:49 AM,RISK,,,,,,,
176,12:54:44 AM,APPROVED,DIGITAL,45,22000,34,,,
176,12:06:55 AM,,,,,,246.0702403,,
